Date,State,State_code,District,District_code,Rice Allocated,Wheat Allocated,Rice Distributed,Wheat Distributed,Performance (Rice),Performance (Wheat),Waste (Rice),Waste (Wheat),Year,Month,Total Allocated,Total Distributed,,
01-01-2017,Kerala,32,Kohzikode,561,6441.46,1550.43,6111.81,1480.11,94.88%,95.46%,329.65,70.32,2017,Jan,7991.89,7591.92,,9295.63
01-01-2017,Kerala,32,Pathanamthitta,564,2343.7,564.12,2154.24,540.39,91.92%,95.79%,189.46,23.73,2017,Jan,2907.82,2694.63,,
01-01-2017,Kerala,32,Kannur,557,4159.63,1001.2,3927.24,973.97,94.41%,97.28%,232.39,27.23,2017,Jan,5160.83,4901.21,,
01-01-2017,Kerala,32,Thrissur,566,6204.74,1493.45,5913.73,1443.37,95.31%,96.65%,291.01,50.08,2017,Jan,7698.19,7357.1,,
01-02-2017,Kerala,32,Pathanamthitta,564,2343.7,564.12,2250.26,552.69,96.01%,97.97%,93.44,11.43,2017,Feb,2907.82,2802.95,,
01-02-2017,Kerala,32,Kannur,557,4159.63,1001.2,3972.45,983.7,95.50%,98.25%,187.18,17.5,2017,Feb,5160.83,4956.15,,
01-03-2017,Kerala,32,Pathanamthitta,564,2343.7,564.12,2197.76,539.13,93.77%,95.57%,145.94,24.99,2017,Mar,2907.82,2736.89,,
01-03-2017,Kerala,32,Kannur,557,4159.63,1001.2,3998.41,985.91,96.12%,98.47%,161.22,15.29,2017,Mar,5160.83,4984.32,,
01-04-2017,Kerala,32,Pathanamthitta,564,2343.7,564.12,2246.88,557.09,95.87%,98.75%,96.82,7.03,2017,Apr,2907.82,2803.97,,
01-04-2017,Kerala,32,Kannur,557,4159.63,1001.2,3993.72,982.28,96.01%,98.11%,165.91,18.92,2017,Apr,5160.83,4976,,
01-05-2017,Kerala,32,Pathanamthitta,564,2371.47,570.8,2269.61,560.32,95.70%,98.16%,101.86,10.48,2017,May,2942.27,2829.93,,
01-05-2017,Kerala,32,Kannur,557,4185.64,1007.46,3873.6,996.17,92.54%,98.88%,312.04,11.29,2017,May,5193.1,4869.77,,
01-06-2017,Kerala,32,Pathanamthitta,564,2371.47,570.8,2296.71,558.3,96.85%,97.81%,74.76,12.5,2017,Jun,2942.27,2855.01,,
01-06-2017,Kerala,32,Kannur,557,4185.64,1007.46,4105.72,989.94,98.09%,98.26%,79.92,17.52,2017,Jun,5193.1,5095.66,,
01-07-2017,Kerala,32,Pathanamthitta,564,2371.47,570.8,2235.41,534.35,94.26%,93.61%,136.06,36.45,2017,Jul,2942.27,2769.76,,
01-07-2017,Kerala,32,Kannur,557,4185.64,1007.46,4103.02,991.94,98.03%,98.46%,82.62,15.52,2017,Jul,5193.1,5094.96,,
01-08-2017,Gujarat,24,Bharuch,442,1.54,3.63,1.21,2.86,78.57%,78.79%,0.33,0.77,2017,Aug,5.17,4.07,,
01-08-2017,Gujarat,24,Banas Kantha,441,3.42,8.09,2.49,5.89,72.81%,72.81%,0.93,2.2,2017,Aug,11.51,8.38,,
01-08-2017,Kerala,32,Kannur,557,4185.64,1007.46,4185.64,1007.46,100.00%,100.00%,0,0,2017,Aug,5193.1,5193.1,,
01-08-2017,Gujarat,24,Junagadh,448,1.45,3.4,1.1,2.6,75.86%,76.47%,0.35,0.8,2017,Aug,4.85,3.7,,
